Business Unit,Forecast Date,Actuals FTE,Budget FTE,Demand FTE,Supply FTE
Software,01/01/2024,450,500,510,490
Software,01/02/2024,,500,510,490
Software,01/03/2024,,500,510,490
Software,01/04/2024,,500,510,490
Software,01/05/2024,,500,510,490
Software,01/06/2024,,500,510,470
Software,01/07/2024,,500,510,470
Software,01/08/2024,,500,510,470
Software,01/09/2024,,500,510,485
Software,01/10/2024,,500,510,490
Software,01/11/2024,,505,510,500
Software,01/12/2024,,505,510,500
Software,01/01/2025,,505,500,490
Software,01/02/2025,,505,500,490
Software,01/03/2025,,505,500,490
Software,01/04/2025,,505,500,490
Software,01/05/2025,,505,500,490
Software,01/06/2025,,505,500,470
Software,01/07/2025,,505,520,470
Software,01/08/2025,,505,520,470
Software,01/09/2025,,505,520,485
Software,01/10/2025,,505,520,490
Software,01/11/2025,,505,520,500
Software,01/12/2025,,505,500,500
Software,01/01/2026,,520,510,490
Software,01/02/2026,,520,510,490
Software,01/03/2026,,520,510,490
Software,01/04/2026,,520,510,490
Software,01/05/2026,,520,510,490
Software,01/06/2026,,520,510,470
Software,01/07/2026,,520,510,470
Software,01/08/2026,,520,510,470
Software,01/09/2026,,520,510,485
Software,01/10/2026,,520,510,490
Software,01/11/2026,,520,510,500
Software,01/12/2026,,520,510,500
